event_id,user_id,product_id,event_type,event_date,session_id,platform
1,8310,449,add_to_cart,2023-10-06,34623,Mobile Web
2,2527,449,add_to_cart,2023-11-16,20764,Mobile Web
3,6603,334,product_view,2023-11-13,18069,App
4,9411,186,checkout,2023-11-30,24197,App
5,7820,46,checkout,2023-08-15,44074,App
6,1044,231,page_view,2023-12-24,42470,Web
7,2506,487,product_view,2023-06-26,23145,Web
8,7759,96,page_view,2023-11-29,3354,Web
9,2688,229,page_view,2023-07-27,49281,App
10,3157,236,add_to_cart,2023-04-12,27010,App
11,576,220,purchase,2023-06-04,5769,Web
12,403,118,page_view,2023-02-13,2316,Web
13,8445,62,product_view,2023-01-19,35522,App
14,1630,164,page_view,2023-10-03,33570,Web
15,7969,353,add_to_cart,2023-06-21,1570,App
16,2710,91,page_view,2023-07-19,23947,App
17,4824,481,add_to_cart,2023-03-06,33306,Web
18,4044,3,checkout,2023-09-24,26981,Web
19,2660,276,product_view,2023-10-04,15631,Web
20,5242,448,product_view,2023-05-26,20580,App
21,9171,498,add_to_cart,2023-04-20,49959,App
22,3817,355,add_to_cart,2023-02-17,2883,Web
23,2727,421,add_to_cart,2023-09-19,9161,App
24,569,318,purchase,2023-10-10,2014,App
25,4106,14,product_view,2023-06-09,31593,Web
26,2773,250,page_view,2023-09-24,26675,App
27,4055,459,product_view,2023-06-24,46690,App
28,7878,384,product_view,2023-11-22,23831,Web
29,3999,169,page_view,2023-03-23,48499,Web
30,137,373,page_view,2023-01-12,30051,App
31,4787,450,page_view,2023-01-15,29095,Web
32,9616,251,checkout,2023-10-04,22729,Web
33,1466,119,product_view,2023-10-31,14567,Web
34,4772,260,product_view,2023-05-13,17416,App
35,3833,253,page_view,2023-05-04,18191,App
36,1537,138,purchase,2023-06-05,41931,App
37,2325,71,add_to_cart,2023-08-05,37662,Mobile Web
38,9572,403,add_to_cart,2023-09-16,10694,App
39,9125,327,page_view,2023-02-26,2293,App
40,7261,27,product_view,2023-01-31,47699,Mobile Web
41,6785,418,checkout,2023-07-10,1421,Web
42,7304,69,add_to_cart,2023-05-13,21495,Web
43,9260,424,product_view,2023-11-18,27353,App
44,211,222,add_to_cart,2023-09-17,23481,Web
45,7527,296,page_view,2023-07-01,26615,Web
46,6505,489,page_view,2023-03-05,11562,Web
47,6555,26,add_to_cart,2023-01-25,33672,App
48,8424,201,page_view,2023-11-30,40730,Mobile Web
49,804,435,add_to_cart,2023-03-05,35755,Web
50,9386,291,product_view,2023-08-18,27611,App
51,8426,134,add_to_cart,2023-06-02,38926,Web
52,2568,445,product_view,2023-10-21,47485,App
53,2148,473,page_view,2023-01-03,38289,App
54,6397,498,page_view,2023-08-21,7332,Web
55,1724,491,purchase,2023-06-23,5437,Web
56,1147,364,product_view,2023-05-01,42466,Web
57,8324,458,product_view,2023-10-25,45572,App
58,6365,189,product_view,2023-10-17,9277,Mobile Web
59,9024,252,product_view,2023-11-18,39286,Mobile Web
60,732,403,page_view,2023-12-07,5968,App
61,8595,35,page_view,2023-10-01,1731,Mobile Web
62,6315,103,add_to_cart,2023-11-01,6796,Mobile Web
63,5596,154,page_view,2023-04-30,42975,App
64,9810,493,page_view,2023-06-29,29161,App
65,270,35,add_to_cart,2023-06-03,13636,App
66,7581,307,add_to_cart,2023-05-26,19301,Mobile Web
67,1155,188,page_view,2023-12-08,40367,App
68,6857,499,add_to_cart,2023-10-21,44501,App
69,7016,323,purchase,2023-12-11,16980,App
70,7901,133,checkout,2023-03-13,12462,Web
71,5637,173,page_view,2023-07-13,13065,App
72,6773,457,add_to_cart,2023-09-24,35997,Mobile Web
73,2349,60,page_view,2023-05-07,19452,Web
74,2752,444,product_view,2023-02-23,23926,Mobile Web
75,6059,285,page_view,2023-06-17,35285,Web
76,4523,243,product_view,2023-09-22,10887,Mobile Web
77,2164,172,page_view,2023-10-26,45432,App
78,2284,250,page_view,2023-04-09,9971,App
79,6157,226,page_view,2023-07-04,43255,App
80,4164,276,product_view,2023-08-21,39006,Web
81,4487,80,product_view,2023-02-20,5734,Web
82,8965,182,page_view,2023-03-17,21498,Web
83,2427,481,product_view,2023-12-31,20799,Web
84,3247,440,page_view,2023-08-06,22046,Mobile Web
85,5512,440,page_view,2023-07-30,41718,App
86,3477,168,page_view,2023-02-11,10413,App
87,4184,406,add_to_cart,2023-02-17,11279,Web
88,5912,47,page_view,2023-02-01,36531,Mobile Web
89,5209,79,page_view,2023-08-06,39990,App
90,8179,188,purchase,2023-03-08,2190,Web
91,3893,420,page_view,2023-09-01,46266,App
92,2780,242,add_to_cart,2023-04-20,37514,App
93,6600,86,purchase,2023-08-17,33332,App
94,8647,34,product_view,2023-02-09,35827,Web
95,3635,249,page_view,2023-07-09,28161,App
96,6655,89,page_view,2023-12-13,7507,App
97,3247,220,page_view,2023-09-27,439,App
98,4305,34,checkout,2023-07-26,15545,Web
99,7797,341,page_view,2023-10-29,5413,App
100,5433,155,page_view,2023-10-14,18492,App
101,2851,321,page_view,2023-09-23,37878,App
102,5624,285,page_view,2023-07-22,20003,Web
103,2134,32,add_to_cart,2023-05-16,50,Mobile Web
104,5340,57,page_view,2023-10-27,49595,App
105,1722,397,add_to_cart,2023-09-13,46924,App
106,2027,205,checkout,2023-11-22,41762,App
107,6650,36,page_view,2023-08-05,26091,App
108,1187,269,page_view,2023-08-14,39343,Web
109,1151,46,page_view,2023-12-19,4366,App
110,4213,133,page_view,2023-09-08,4748,Mobile Web
111,1430,378,product_view,2023-08-02,5959,App
112,649,53,product_view,2023-03-25,40152,App
113,7936,330,product_view,2023-03-15,38899,Web
114,356,367,page_view,2023-09-16,36017,App
115,2824,462,product_view,2023-03-07,19531,Web
116,8158,17,page_view,2023-09-06,34827,Web
117,5119,130,product_view,2023-12-31,31388,App
118,7544,482,add_to_cart,2023-08-23,37005,Web
119,5270,336,page_view,2023-03-08,31579,App
120,6380,409,page_view,2023-12-27,26023,App
121,3935,7,purchase,2023-09-20,8510,Web
122,9384,418,page_view,2023-09-28,19774,App
123,5615,342,add_to_cart,2023-03-02,5161,App
124,7086,154,add_to_cart,2023-12-22,26648,Web
125,267,381,product_view,2023-04-19,40076,Mobile Web
126,7318,314,page_view,2023-08-22,11680,App
127,1881,61,page_view,2023-08-31,33166,App
128,1549,372,add_to_cart,2023-01-17,20034,App
129,382,404,product_view,2023-03-22,34092,App
130,1636,490,page_view,2023-10-14,31164,Web
131,8877,65,add_to_cart,2023-07-09,26871,App
132,7418,73,page_view,2023-03-02,6172,Web
133,2638,371,purchase,2023-11-05,27331,Web
134,5571,150,page_view,2023-07-29,32967,App
135,4850,379,product_view,2023-02-26,4737,Mobile Web
136,6051,95,add_to_cart,2023-03-03,15323,App
137,1952,401,page_view,2023-07-09,25501,App
138,9638,447,page_view,2023-10-20,33198,Mobile Web
139,5946,117,page_view,2023-05-29,42317,App
140,21,194,product_view,2023-01-21,2666,App
141,1010,144,page_view,2023-09-25,8922,Web
142,7780,439,product_view,2023-03-20,29620,Web
143,7141,440,product_view,2023-03-02,30082,App
144,5288,427,add_to_cart,2023-07-10,24279,App
145,9274,458,page_view,2023-06-06,21559,Web
146,2649,138,product_view,2023-07-11,49031,Web
147,7825,437,add_to_cart,2023-06-05,26443,Mobile Web
148,4853,316,product_view,2023-05-31,18908,App
149,5386,89,page_view,2023-09-06,44664,Web
150,2453,374,page_view,2023-01-15,35628,App
151,6509,99,page_view,2023-03-15,24903,App
152,8577,271,page_view,2023-03-14,16114,App
153,4105,211,product_view,2023-10-29,14994,Mobile Web
154,7537,388,checkout,2023-08-04,39642,App
155,6453,431,product_view,2023-01-25,21355,App
156,2218,247,add_to_cart,2023-06-06,33223,Web
157,147,278,page_view,2023-05-26,9126,Web
158,1927,36,checkout,2023-04-21,8628,Web
159,3755,22,add_to_cart,2023-04-04,3041,Web
160,8272,147,add_to_cart,2023-09-08,49857,Web
161,6596,73,page_view,2023-01-02,30700,App
162,9952,11,product_view,2023-03-04,5972,Web
163,978,456,page_view,2023-10-08,16723,Mobile Web
164,4903,449,product_view,2023-06-28,25154,Mobile Web
165,6053,256,page_view,2023-02-04,46217,App
166,2805,342,page_view,2023-01-23,37211,App
167,7580,495,product_view,2023-08-02,36488,App
168,9778,450,product_view,2023-09-04,22209,App
169,4391,15,purchase,2023-10-21,21025,Web
170,9346,285,page_view,2023-06-08,25671,Web
171,6013,143,page_view,2023-10-17,11719,App
172,5884,363,page_view,2023-08-20,33394,Web
173,5285,82,product_view,2023-06-22,25204,Web
174,8805,330,page_view,2023-07-13,19282,Mobile Web
175,3579,183,product_view,2023-09-01,49639,App
176,4165,211,checkout,2023-11-07,36675,Mobile Web
177,4652,113,purchase,2023-03-09,36103,App
178,2957,315,add_to_cart,2023-03-12,32296,App
179,5782,445,page_view,2023-09-16,30773,App
180,3207,330,product_view,2023-11-22,44405,Web
181,830,441,page_view,2023-08-24,20900,Web
182,4598,347,page_view,2023-08-19,1634,App
183,9166,406,checkout,2023-12-08,46924,App
184,8922,369,page_view,2023-08-18,33396,App
185,9093,414,purchase,2023-03-18,38904,App
186,660,25,page_view,2023-06-16,21598,App
187,7806,207,product_view,2023-02-15,33039,Web
188,761,323,page_view,2023-11-16,26882,Web
189,8524,137,page_view,2023-12-07,44195,Web
190,959,418,product_view,2023-11-16,32997,App
191,9951,481,add_to_cart,2023-07-29,23872,App
192,5841,64,page_view,2023-07-18,20304,App
193,6800,151,checkout,2023-04-30,1399,Mobile Web
194,4409,138,add_to_cart,2023-07-22,7078,App
195,1856,381,page_view,2023-06-23,13945,App
196,355,482,product_view,2023-10-04,20345,App
197,5622,174,page_view,2023-01-24,15281,App
198,2273,307,add_to_cart,2023-12-10,30675,App
199,4195,62,page_view,2023-08-15,42967,App
200,4891,39,product_view,2023-05-23,35877,App
201,3163,321,product_view,2023-11-27,32551,Web
202,3881,328,purchase,2023-02-15,31895,App
203,6518,359,add_to_cart,2023-03-26,24497,App
204,8396,78,page_view,2023-12-29,12421,Mobile Web
205,3966,451,page_view,2023-01-13,1258,App
206,9966,204,add_to_cart,2023-10-20,7642,Mobile Web
207,609,334,product_view,2023-11-19,36136,App
208,8077,53,page_view,2023-12-29,43293,App
209,1141,427,product_view,2023-06-08,39834,App
210,4875,126,product_view,2023-10-15,28148,Mobile Web
211,4997,380,page_view,2023-11-27,13575,Web
212,4924,274,page_view,2023-03-05,10950,Mobile Web
213,8174,34,product_view,2023-11-26,12234,Web
214,6236,265,purchase,2023-10-14,13194,App
215,5197,378,checkout,2023-02-13,19308,Mobile Web
216,7918,386,product_view,2023-04-09,5611,Mobile Web
217,739,399,purchase,2023-11-13,8561,Web
218,7488,393,add_to_cart,2023-10-05,24592,App
219,3724,316,add_to_cart,2023-10-23,43535,App
220,658,139,page_view,2023-01-28,26518,App
221,7313,189,product_view,2023-10-19,47956,Web
222,2727,190,page_view,2023-09-25,20588,App
223,9302,149,product_view,2023-04-07,32129,App
224,3213,65,add_to_cart,2023-09-01,25992,App
225,6189,404,add_to_cart,2023-09-15,15458,Mobile Web
226,8038,346,page_view,2023-01-10,44977,Mobile Web
